id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1,Male,Loyal Customer,7,Personal Travel,Business,1034,2,2,3,3,3,1,3,4,2,3,2,3,5,3,24,26.0,satisfied
2,Female,Loyal Customer,57,Business travel,Business,1675,3,3,4,2,4,4,4,4,2,4,2,3,3,3,34,33.0,satisfied
3,Male,disloyal Customer,11,Personal Travel,Business,2368,2,3,3,3,3,4,3,3,4,3,2,4,3,4,13,19.0,neutral or dissatisfied
4,Male,Loyal Customer,19,Business travel,Business,4515,2,1,5,4,4,4,3,3,3,2,3,3,3,4,18,13.0,satisfied
5,Male,Loyal Customer,25,Business travel,Business,823,5,4,4,4,2,5,1,4,3,4,3,2,3,4,2,0.0,satisfied
6,Female,Loyal Customer,18,Business travel,Business,1574,2,2,5,4,3,5,3,3,2,3,5,3,3,3,5,5.0,satisfied
7,Male,Loyal Customer,54,Personal Travel,Eco,3426,1,4,2,2,3,2,4,5,2,3,4,2,2,3,6,6.0,neutral or dissatisfied
8,Male,Loyal Customer,31,Business travel,Eco,4190,4,3,2,2,4,3,2,3,1,4,1,2,5,2,2,0.0,satisfied
9,Male,Loyal Customer,63,Business travel,Business,2068,5,2,4,4,2,4,4,4,4,4,3,4,4,4,9,9.0,satisfied
10,Female,Loyal Customer,41,Business travel,Business,287,4,2,5,3,3,3,3,3,4,3,4,4,4,3,16,6.0,satisfied
11,Male,Loyal Customer,11,Business travel,Eco,1163,5,4,4,1,4,3,2,3,4,3,3,3,4,3,3,6.0,satisfied
12,Male,Loyal Customer,28,Business travel,Business,2492,5,4,5,4,3,5,5,2,2,2,2,2,5,3,15,0.0,satisfied
13,Male,disloyal Customer,63,Business travel,Eco,3391,2,2,4,1,3,4,2,3,4,4,4,2,4,2,20,23.0,satisfied
14,Male,Loyal Customer,53,Business travel,Business,4090,3,5,4,3,3,5,3,3,3,3,3,3,3,3,0,0.0,satisfied
15,Female,Loyal Customer,60,Business travel,Eco,476,1,3,3,3,2,3,4,5,4,3,3,4,3,2,21,21.0,neutral or dissatisfied
16,Male,Loyal Customer,9,Business travel,Eco,2037,2,3,2,4,3,3,3,3,1,5,3,1,4,3,2,1.0,neutral or dissatisfied
17,Female,Loyal Customer,59,Business travel,Eco,288,4,3,1,3,1,3,2,3,5,4,3,2,4,2,0,0.0,neutral or dissatisfied
18,Female,disloyal Customer,37,Business travel,Eco,512,3,2,3,1,2,4,3,3,3,3,2,3,1,2,19,15.0,neutral or dissatisfied
19,Female,Loyal Customer,75,Personal Travel,Business,2736,5,2,4,3,4,3,5,4,4,4,1,4,5,2,18,14.0,satisfied
20,Male,Loyal Customer,39,Business travel,Business,2516,2,3,0,3,4,2,4,3,2,5,5,5,5,2,0,0.0,satisfied
21,Female,disloyal Customer,78,Personal Travel,Eco,4758,2,4,2,4,2,2,2,4,2,3,2,5,2,4,0,,neutral or dissatisfied
